item,wdLabel,coord,www,layer,article,img,SCBkommun
http://www.wikidata.org/entity/Q510223,Karlshamns kommun,Point(14.85 56.166666666),http://www.karlshamn.se,Blekinge län,https://sv.wikipedia.org/wiki/Karlshamns_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Karlshamntorg1.jpg, https://kommunsiffror.scb.se/?id1=1082&id2=null
http://www.wikidata.org/entity/Q504257,Olofströms kommun,Point(14.533333333 56.266666666),http://www.olofstrom.se,Blekinge län,https://sv.wikipedia.org/wiki/Olofstr%C3%B6ms_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Olofstr%C3%B6m%20station.JPG, https://kommunsiffror.scb.se/?id1=1060&id2=null
http://www.wikidata.org/entity/Q1128384,Karlskrona kommun,Point(15.65 56.183333333),,Blekinge län,https://sv.wikipedia.org/wiki/Karlskrona_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A5dhuset%20karlskrona.jpg, https://kommunsiffror.scb.se/?id1=1080&id2=null
http://www.wikidata.org/entity/Q515373,Ronneby kommun,Point(15.283333333 56.2),http://www.ronneby.se,Blekinge län,https://sv.wikipedia.org/wiki/Ronneby_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Ronneby%20stadshus%20.jpg, https://kommunsiffror.scb.se/?id1=1081&id2=null
http://www.wikidata.org/entity/Q515409,Sölvesborgs kommun,Point(14.583333333 56.05),http://www.solvesborg.se,Blekinge län,https://sv.wikipedia.org/wiki/S%C3%B6lvesborgs_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%B6lvesborg%20R%C3%A5dhuset.jpg, https://kommunsiffror.scb.se/?id1=1083&id2=null
http://www.wikidata.org/entity/Q501545,Falu kommun,Point(15.633333333 60.6),https://www.falun.se/,Dalarnas län,https://sv.wikipedia.org/wiki/Falu_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Falun1.jpg, https://kommunsiffror.scb.se/?id1=2080&id2=null
http://www.wikidata.org/entity/Q501551,Vansbro kommun,Point(14.216666666 60.516666666),http://www.vansbro.se,Dalarnas län,https://sv.wikipedia.org/wiki/Vansbro_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Vansbro-library-45.JPG, https://kommunsiffror.scb.se/?id1=2021&id2=null
http://www.wikidata.org/entity/Q123855,Älvdalens kommun,Point(14.033333333 61.233333333),http://www.alvdalen.se,Dalarnas län,https://sv.wikipedia.org/wiki/%C3%84lvdalens_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Spiegelung%20der%20Landschaft%20in%20einer%20unbewegten%20Wasserfl%C3%A4che.jpg, https://kommunsiffror.scb.se/?id1=2039&id2=null
http://www.wikidata.org/entity/Q503184,Ludvika kommun,Point(15.183333333 60.133333333),https://www.ludvika.se/,Dalarnas län,https://sv.wikipedia.org/wiki/Ludvika_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Ludvika%20stadshus%20okt%202013.jpg, https://kommunsiffror.scb.se/?id1=2085&id2=null
http://www.wikidata.org/entity/Q503209,Borlänge kommun,Point(15.436388888 60.482777777),http://www.borlange.se,Dalarnas län,https://sv.wikipedia.org/wiki/Borl%C3%A4nge_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Borlange%20sveatorget.jpg, https://kommunsiffror.scb.se/?id1=2081&id2=null
http://www.wikidata.org/entity/Q504239,Mora kommun,Point(14.533333333 61.016666666),https://morakommun.se,Dalarnas län,https://sv.wikipedia.org/wiki/Mora_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Kommunledningskontoret%20Mora%20Mars%202013.jpg, https://kommunsiffror.scb.se/?id1=2062&id2=null
http://www.wikidata.org/entity/Q504244,Rättviks kommun,Point(15.133333333 60.883333333),http://www.rattvik.se,Dalarnas län,https://sv.wikipedia.org/wiki/R%C3%A4ttviks_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A4ttviks%20kommunhus.jpg, https://kommunsiffror.scb.se/?id1=2031&id2=null
http://www.wikidata.org/entity/Q504266,Malung-Sälens kommun,Point(13.733333333 60.683333333),https://www.malung-salen.se,Dalarnas län,https://sv.wikipedia.org/wiki/Malung-S%C3%A4lens_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/Malung%20centre.jpg, https://kommunsiffror.scb.se/?id1=2023&id2=null
http://www.wikidata.org/entity/Q1345439,Säters kommun,Point(15.75 60.35),http://www.sater.se,Dalarnas län,https://sv.wikipedia.org/wiki/S%C3%A4ters_kommun,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A4ters%20sockenstuga.jpg, https://kommunsiffror.scb.se/?id1=2082&id2=null
